name,board_functions_policy,board_structure_policy,board_independence_policy,esg_reporting_scope,csr_sustainability_committee,board_gender_diversity,executive_members_gender_diversity,succession_plan,tax_transparency_policy,sdg_goal_7,sdg_goal_8,sdg_goal_11,sdg_goals_12,sdg_goal_13
Eurobank Ergasias Services and Holdings SA,TRUE,TRUE,TRUE,100.00%,TRUE,21.43%,0.00%,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
NatWest Group PLC,TRUE,TRUE,FALSE,100.00%,TRUE,40.00%,26.67%,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Bank Central Asia Tbk PT,TRUE,TRUE,TRUE,100.00%,TRUE,0.00%,0.00%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Yuanta Financial Holding Co Ltd,FALSE,TRUE,TRUE,77.37%,TRUE,11.11%,36.00%,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Bank Mandiri (Persero) Tbk PT,TRUE,TRUE,FALSE,100.00%,TRUE,18.18%,25.00%,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Samsung Securities Co Ltd,TRUE,TRUE,TRUE,51.00%,TRUE,25.00%,10.71%,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Axis Bank Ltd,TRUE,TRUE,TRUE,100.00%,TRUE,15.38%,10.00%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Alpha Services and Holdings SA,TRUE,TRUE,TRUE,69.08%,TRUE,38.46%,23.08%,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
ING Bank Slaski SA,FALSE,TRUE,TRUE,100.00%,TRUE,50.00%,50.00%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
M&T Bank Corp,TRUE,TRUE,TRUE,100.00%,TRUE,23.53%,35.71%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Turkiye Halk Bankasi AS,TRUE,TRUE,TRUE,100.00%,TRUE,18.18%,0.00%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Macquarie Group Ltd,TRUE,TRUE,TRUE,100.00%,TRUE,62.50%,36.36%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
State Street Corp,TRUE,TRUE,TRUE,100.00%,TRUE,33.33%,33.33%,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
FinecoBank Banca Fineco SpA,TRUE,TRUE,TRUE,100.00%,TRUE,54.55%,12.50%,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Grupo Security SA,FALSE,TRUE,FALSE,100.00%,TRUE,22.22%,36.36%,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
CIMB Thai Bank PCL,TRUE,TRUE,TRUE,100.00%,TRUE,28.57%,42.11%,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
AMP Ltd,FALSE,TRUE,TRUE,100.00%,TRUE,50.00%,63.64%,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Bank Leumi Le Israel BM,FALSE,TRUE,FALSE,100.00%,TRUE,40.00%,43.75%,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Bank Rakyat Indonesia (Persero) Tbk PT,TRUE,TRUE,FALSE,100.00%,TRUE,30.00%,15.38%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Deutsche Bank AG,FALSE,TRUE,FALSE,100.00%,TRUE,35.00%,10.00%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Noah Holdings Ltd,TRUE,TRUE,TRUE,100.00%,TRUE,44.44%,25.00%,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Banco Bbva Argentina SA,FALSE,TRUE,TRUE,100.00%,TRUE,16.67%,26.67%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
E.SUN Financial Holding Co Ltd,TRUE,TRUE,TRUE,99.80%,TRUE,9.09%,13.64%,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Marocaine pour le Commerce et l'Industrie Banque SA,TRUE,TRUE,TRUE,100.00%,TRUE,33.33%,0.00%,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Grupo Financiero Banorte SAB de CV,FALSE,TRUE,TRUE,36.00%,TRUE,14.29%,6.67%,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Bank of Montreal,FALSE,TRUE,TRUE,21.00%,TRUE,50.00%,21.43%,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
National Bank of Bahrain BSC,TRUE,TRUE,TRUE,100.00%,TRUE,9.09%,14.29%,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
TBC Bank Group PLC,TRUE,TRUE,TRUE,100.00%,TRUE,33.33%,22.22%,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
mBank SA,FALSE,TRUE,TRUE,100.00%,TRUE,37.50%,14.29%,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Public Bank Bhd,FALSE,TRUE,TRUE,100.00%,TRUE,44.44%,29.73%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Bper Banca SpA,TRUE,TRUE,TRUE,100.00%,TRUE,57.14%,0.00%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Banco Bilbao Vizcaya Argentaria Colombia SA,TRUE,TRUE,TRUE,100.00%,TRUE,20.00%,31.25%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BNK Financial Group Inc,TRUE,TRUE,TRUE,100.00%,TRUE,16.67%,10.00%,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
First Financial Holding Co Ltd,FALSE,TRUE,TRUE,100.00%,TRUE,53.33%,50.00%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
UniCredit SpA,TRUE,TRUE,TRUE,100.00%,TRUE,41.67%,42.86%,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Mega Financial Holding Co Ltd,FALSE,TRUE,TRUE,82.91%,TRUE,50.00%,85.71%,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Banco Comercial Portugues SA,TRUE,TRUE,TRUE,83.59%,TRUE,35.29%,16.67%,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
First Abu Dhabi Bank PJSC,TRUE,TRUE,TRUE,51.00%,TRUE,7.69%,26.67%,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Bankinter SA,TRUE,TRUE,TRUE,100.00%,TRUE,45.45%,40.00%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Banca Transilvania SA,FALSE,TRUE,FALSE,100.00%,TRUE,28.57%,28.57%,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Nedbank Group Ltd,FALSE,TRUE,TRUE,100.00%,TRUE,25.00%,50.00%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Anima Holding SpA,FALSE,TRUE,TRUE,100.00%,TRUE,45.45%,0.00%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Legal & General Group PLC,TRUE,TRUE,FALSE,100.00%,TRUE,41.67%,33.33%,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Banco Bradesco SA,FALSE,TRUE,TRUE,100.00%,TRUE,18.18%,10.00%,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
IGM Financial Inc,TRUE,TRUE,TRUE,100.00%,TRUE,33.33%,33.33%,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Hang Seng Bank Ltd,FALSE,TRUE,TRUE,81.47%,TRUE,72.73%,68.75%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sinolink Securities Co Ltd,TRUE,TRUE,TRUE,100.00%,TRUE,11.11%,9.09%,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bolsas y Mercados Argentinos SA,TRUE,TRUE,TRUE,100.00%,TRUE,8.33%,0.00%,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Nippon Life India Asset Management Ltd,FALSE,TRUE,TRUE,100.00%,TRUE,12.50%,11.54%,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
JPMorgan Chase & Co,TRUE,TRUE,TRUE,100.00%,TRUE,45.45%,50.00%,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Royal Bank of Canada,FALSE,TRUE,TRUE,100.00%,TRUE,38.46%,30.00%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Turkiye Garanti Bankasi AS,TRUE,TRUE,FALSE,100.00%,TRUE,18.18%,27.27%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
B3 SA Brasil Bolsa Balcao,TRUE,TRUE,TRUE,100.00%,TRUE,36.36%,36.36%,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Santander Bank Polska SA,FALSE,TRUE,TRUE,100.00%,TRUE,40.00%,27.27%,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
AIB Group PLC,TRUE,TRUE,FALSE,100.00%,TRUE,40.00%,41.67%,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
JB Financial Group Co Ltd,TRUE,TRUE,TRUE,97.00%,TRUE,11.11%,0.00%,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Haitong Securities Co Ltd,TRUE,TRUE,TRUE,100.00%,TRUE,10.00%,9.09%,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sekerbank TAS,TRUE,TRUE,TRUE,100.00%,TRUE,8.33%,21.43%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
ICICI Bank Ltd,TRUE,TRUE,TRUE,100.00%,TRUE,0.00%,0.00%,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Yuanta Securities Korea Co Ltd,FALSE,TRUE,TRUE,,TRUE,0.00%,13.33%,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Mizrahi Tefahot Bank Ltd,FALSE,TRUE,TRUE,100.00%,TRUE,20.00%,33.33%,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Ameriprise Financial Inc,TRUE,TRUE,TRUE,100.00%,TRUE,25.00%,28.57%,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Nordea Bank Abp,FALSE,TRUE,FALSE,100.00%,TRUE,35.71%,35.71%,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
First Capital Securities Co Ltd,FALSE,TRUE,TRUE,100.00%,TRUE,36.36%,33.33%,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
illimity Bank SpA,FALSE,TRUE,TRUE,100.00%,TRUE,46.15%,11.76%,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
DBS Group Holdings Ltd,FALSE,TRUE,TRUE,100.00%,TRUE,20.00%,27.27%,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Itau Unibanco Holding SA,TRUE,TRUE,TRUE,51.00%,TRUE,9.09%,15.00%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Perpetual Ltd,FALSE,TRUE,TRUE,100.00%,TRUE,44.44%,50.00%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Piraeus Financial Holdings SA,TRUE,TRUE,TRUE,100.00%,TRUE,16.67%,0.00%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Bank of Nova Scotia,FALSE,TRUE,TRUE,49.98%,TRUE,35.71%,31.43%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Canadian Imperial Bank of Commerce,FALSE,TRUE,TRUE,70.00%,TRUE,46.15%,45.45%,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Abu Dhabi Islamic Bank PJSC,TRUE,TRUE,TRUE,100.00%,TRUE,14.29%,14.29%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Fosun International Ltd,TRUE,TRUE,FALSE,79.00%,TRUE,6.67%,12.50%,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Nasdaq Inc,TRUE,TRUE,TRUE,100.00%,TRUE,33.33%,30.00%,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Albaraka Turk Katilim Bankasi AS,TRUE,TRUE,TRUE,100.00%,TRUE,0.00%,9.09%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Sparebank 1 Sor-Norge ASA,FALSE,TRUE,FALSE,100.00%,TRUE,50.00%,45.45%,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
